no_data,epoch,epochs,avg_loss_epoch
782,1,20,1.9466378367160593
1564,2,20,1.4999534121864593
2346,3,20,1.3144682058897774
3128,4,20,1.1731678204005942
3910,5,20,1.0436453337559615
4692,6,20,0.9446846630490954
5474,7,20,0.8627332447053832
6256,8,20,0.7902076099153674
7038,9,20,0.729410326236959
7820,10,20,0.6831775934190092
8602,11,20,0.6420077041286947
9384,12,20,0.6051978489855672
10166,13,20,0.5765432349175138
10948,14,20,0.5463277842001537
11730,15,20,0.5253504564047164
12512,16,20,0.4995752159896714
13294,17,20,0.4758872407038346
14076,18,20,0.45498259956269616
14858,19,20,0.43177869376700245
15640,20,20,0.4148217320747083
,Total accuracy: ,82
plane,class accuracy: ,91.1
car,class accuracy: ,91.4
bird,class accuracy: ,72.0
cat,class accuracy: ,58.1
deer,class accuracy: ,81.7
dog,class accuracy: ,77.8
frog,class accuracy: ,86.7
horse,class accuracy: ,87.5
ship,class accuracy: ,89.1
truck,class accuracy: ,87.7
